College Code,College Name,City,Institute Type,Status,University,Home University,Branch Code,Branch Name,Seat Category,Closing Rank,Closing Percentile,Stage,Academic Year,CAP Round,PDF Page Number
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301224510,Computer Engineering,GVJS,2334,99.265671,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301224510,Computer Engineering,GNT1S,1096,99.6203413,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301224510,Computer Engineering,GNT2S,1906,99.3934112,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301224510,Computer Engineering,GNT3S,690,99.7472797,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301224510,Computer Engineering,GOBCS,468,99.8171846,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301224510,Computer Engineering,GSEBCS,643,99.7555098,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301224510,Computer Engineering,LOPENS,102,99.95437,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301224510,Computer Engineering,LSCS,2620,99.184953,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301224510,Computer Engineering,LSTS,19055,94.4932607,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301224510,Computer Engineering,LOBCS,702,99.7447552,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301224510,Computer Engineering,LSEBCS,724,99.7347969,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301224510,Computer Engineering,PWDOPENS,1609,99.4760923,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301224510,Computer Engineering,PWDOBCS,16324,95.3022947,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301224510,Computer Engineering,DEFOPENS,266,99.8930703,Stage I,2025-26,1,1
